"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","price_vol","avg_vol","pe_z","pe_ratio_ttm","pbr_z","price_book_mrq","market_cap_millions","shares_market_cap","shares_outstanding_millions","return_on_equity_ttm_percent","der_z","total_debt_equity_mrq","profit_margin_percent","operating_margin_ttm_percent","enterprise_value_ebitda","qgyoy_adjusted","qrgyoy_z","qrgyoy","quarterly_revenue_growth_yoy_percent"
"16","AGY.AX","Argosy Minerals","Argosy Minerals Limited is an Australia-based mineral exploration company. The Company has its interests in the Rincon, Mina Teresa and Pocitos Lithium Projects in Argentina, the Mt Paris Lithium Project in Tasmania, the Wee MacGregor Copper-Gold (and Cobalt) project in Queensland, and the Erongo Graphite Project in Namibia. The Company focuses on Argentinian Lithium projects of lithium resources. The Company has its interest in Rincon Lithium project and is located within the Solar del Rincon in Salta Province. The Rincon Lithium project consists of approximately 650 hectares of mining concessions. The Company's Wee MacGregor Copper-Gold-Cobalt project has its interest in the Mining International Pty Ltd and is located in the Mt Isa base metals province in the North-West Queensland. The Wee MacGregor Copper-Gold-Cobalt project consists of approximately three mining licenses located approximately 60 kilometers southeast of Mt Isa.",2021-02-12,0.15,0.22,0.03,0.08,90.14,2.38,6472527,-0.19,0,0.02,5.43,127.44,0.12,1020,-9.81,-0.27,0.51,0,-1202.69,-86.76,17.6,0.31,76,17.6
"17","AJY.AX","Asaplus Resources","Asaplus Resources Limited is engaged in exploration, mining and marketing of iron ore. The Company's segments include Mining, and Trading and consulting service. The Mining segment is engaged in exploration and mining of iron ore. The Trading and consulting service segment is engaged in trading of copper strips and providing consulting services. The main operation of the Company is exploration activity relating to the Silverstone Project in China. The Company's subsidiaries include Yong Heng Investment Limited, which is an investment holding company, and Asaplus Ventures Limited, Yinzhou Consulting Co., Ltd and Datian Huixiang Investments Consulting Co., Ltd, which are engaged in providing consulting services.",2021-02-12,0.12,0.12,0.12,0.12,0,0,0,-0.19,0,0.29,8,16.32,0.12,136,-102.19,-0.27,0,0,0,-0.7,0,-1.07,1,0
"18","AMI.AX","Aurelia Metals","Aurelia Metals Limited is an Australia-based gold and base metals mining and exploration company. The Company is primarily engaged in producing from its three operating gold mines: Peak Mine, Hera Mine and Dargues Mine in New South Wales (NSW). The Company's Peak Mine is comprised of several polymetallic underground mines, which has around 800 Kilo-Tones Per Annum (ktpa) gold and base metals processing plant. Peak Mine is primarily focused on gold and copper, with silver, lead and zinc by-products. The Company's Hera Mine is a polymetallic underground mining project, which has around 450ktpa processing plant. Hera is an underground mine utilizing bench stopping with the stopes backfilled with waste rock fill. Its Dargues Mine is focused on gold exploration. The Company's Projects Peak and Hera Mines are located in the northern part of Cobar Basin in NSW, and the Dargues Mine is approximately 100 Kilometer (km) south-east of Cobar, NSW.",2021-02-12,0.4,0.66,0.2,0.47,-3.61,0.98,4917084,0.31,12.12,-0.39,1.49,493.73,0.4,1230,12.9,-0.2,5.76,8.87,13.24,2.98,28.6,0.5,86,28.6
"19","AOU.AX","Auroch Minerals Ltd","Auroch Minerals Limited is an Australia-based mineral exploration and development company. The Company’s projects include Saints Nickel project, Leinster Nickel project, Nepean Nickel project, Arden project, Bonaventura project and Torrens East Copper project. The Saints Nickel project is located approximately 65 kilometer (km) north-west of Kalgoorlie. The Leinster Nickel project is located approximately 40 km southeast of Leinster. The Nepean Nickel project is located approximately 60 km south-west ¬¬of Kalgoorlie. The Arden project is in the base-metal mining region of South Australia. The Bonaventura project is on Kangaroo Island, South Australia. The Torrens East Copper project is located within the Torrens Hinge Zone of the Olympic Dam copper-gold province. The Company also holds 80% interest in Nepean Nickel Project which is located approximately 25 km south of Coolgardie in Western Australia.",2021-02-12,0.3,0.32,0.02,0.14,324.24,2.14,2770617,-0.19,0,-0.03,4.91,69.88,0.26,268.77,-7.21,-0.27,0,0,0,-83.15,0,-1.07,1,0
"20","AUN.AX","Aurumin Limited","Aurumin Ltd is an Australia-based mineral exploration company. The Company holds interest in Mount (Mt) Dimer Project and Mt Palmer Project. Mount Dimer Gold Project is located approximately 120 kilometer (km) northeast of the Southern Cross townsite in the Shire of Yilgarn, Western Australia and comprises of gold mineral prospects. Mount Palmer is located around 15km east of the Marvel Loch townsite in the Shire of Yilgarn, Western Australia and comprises of gold mineral prospects.",2021-02-12,0.24,0.37,0.22,0.26,-20,0.58,464403,-0.19,0,0.23,7.5,20.74,0.24,86.41,0,-0.27,0,0,0,-9.32,0,-1.07,1,0
"21","AUL.AX","AuStar Gold Limited","AuStar Gold Limited, formerly Mantle Mining Corporation Limited, is an Australia-based gold miner with its projects located in Queensland and Victoria. The Company holds interest in various gold projects, which include Morning Star Gold Project, Norton Gold Project, Granite Castle Project and Charters Towers Project. The Company also holds interest in various coal projects, which include Bacchus Marsh Project and Latrobe Valley Project. The Company holds interest in Morning Star Gold NL, which in turn owns the Morning Star project. The Morning Star gold mine is located near the town of Woods Point approximately 120 kilometers northeast of Melbourne. The Norton Mine is located approximately 100 kilometers south of the port city of Gladstone, Queensland. The Charters Towers Gold Project is located around the township of Charters Towers in north Queensland. Granite Castle is located approximately 260 kilometers west of Townsville and approximately 120 kilometers north of Hughenden.",2021-02-12,0.35,0.36,0.16,0.28,16.33,0.71,104310,-0.19,0,-0.54,0,12.04,0.36,33.9,0,-0.27,0,-24.05,-20.56,-10.59,-0.376,-0.57,28,37.6
"22","AGC.AX","Australian Gold and Copper Ltd",NA,2021-02-12,0.18,0.23,0.16,0.19,-17.07,0.37,1062098,-0.19,0,-0.54,0,17,0.17,99.98,0,-0.27,0,0,0,0,0,-1.07,1,0
"23","AQC.AX","Australian Pacific Coal","Australian Pacific Coal Limited operates in junior mining and exploration sector. The Company's principal activities include evaluation of coal exploration tenements held in the Bowen, Surat and Galilee basins in Queensland, Australia; identifying exploration opportunities on selected coal tenements, including exploration by way of joint venture agreement, and planning of exploration programs covering selected coal tenements. The Company operates through two segments: Exploration and Evaluation, and Bentonite Mining. The Exploration and evaluation segment seeks to identify prospective resource areas, secure tenure over the relevant tenements and manage the exploration and evaluation process. The Bentonite Mining segment mines bentonite for sale. It operates the Dartbrook Coal Mine, which is located in the coal region of the Hunter Valley, New South Wales. The Company’s other assets include Blackwater, South Clermont, Cooroorah, Dingo and Mt Hillalong.",2021-02-12,0.16,0.37,0.09,0.16,-35,1.75,7983,-0.19,0,-0.54,0,6.06,0.12,50.48,0,-0.27,0,0,-2135.63,-11.25,0,-1.07,1,0
"24","APC.AX","Australian Potash Limited","Australian Potash Limited, formerly Goldphyre Resources Limited., is a minerals exploration company focused on advancing its project, the Lake Wells Potash Project. The Company is engaged in exploration of its tenements and applied for or acquired additional tenements. Its Lake Wells Potash Project is located approximately 400 kilometers northeast of the Eastern Goldfields center of Kalgoorlie. The Lake Wells Potash Project is being explored for the fertilizer mineral sulfate of potash (SOP), contained within the lake brines. Its project portfolio includes the gold and base metals prospective Laverton Downs and Mailman Hill projects, and the Beretta project, located in base metals minerals province in the Albany Fraser Orogen. Its Laverton Downs Project is located over 15 kilometers north of the Laverton Township, lying in the Laverton Tectonic Zone. Its Great Central project occupies a portion of Lake Wells Station and Vacant Crown Land.",2021-02-12,0.19,0.2,0.05,0.14,101.03,1.07,882190,-0.19,0,0.25,7.61,96.43,0.18,551.01,-9.05,-0.25,1.75,0,-472.54,-111.73,0,-1.07,1,0
"25","AUT.AX","Auteco Minerals Ltd","Auteco Minerals Ltd, formerly Monax Mining Limited, is principally engaged in mineral exploration and focuses on copper, lead-zinc, nickel and diamonds in South Australia. The Company has projects located on the Gawler Craton region in South Australia. The Company's projects target a range of commodities, including copper-gold, silver-lead-zinc, nickel and diamonds. Its Punt Hill iron-oxide copper-gold (IOCG) project is located over 130 kilometers north of Port Augusta within the eastern Gawler Craton IOCG Belt. Its Yorke Peninsula portfolio comprises the Webling Bay and Melton IOCG province. The Phar Lap project is located on the western margin of the Mount Woods Inlier within the Olympic IOCG Province. Its Kimberlite Project is centered on the discovery of a kimberlite on Exploration License 5347 located on the northeastern margin of the Gawler Craton. Its Western Gawler Craton (WGC) Project is located over 200 kilometers west of Ceduna within the Fowler Domain of the Gawler Craton.",2021-02-12,0.12,0.23,0.01,0.13,279.31,1.69,2308319,-0.19,0,2.43,28.75,180.23,0.11,1570,-227.67,-0.27,0,0,-75696.8,-23.83,0,-1.07,1,0
"26","AVZ.AX","AVZ Minerals Limited","AVZ Minerals Ltd is an Australia-based mineral exploration company. The Company is focused on developing the Manono Lithium and Tin Project. Manono Lithium and Tin Project is located in the south of the Democratic Republic of Congo (DRC) in central Africa. The Manono Project comprises PR13359, which covers approximately 188 square kilometers. The Company operates through one operating segment, being exploration in the DRC. The Manono Project has lithium rich lithium, caesium, tantalum (LCT) pegmatite deposits. Its subsidiaries include AVZ International Pty Ltd, AVZ Minerals Congo SARL and AVZ Power.",2021-02-12,0.2,0.23,0.04,0.1,112.77,1.9,15780341,-0.19,0,0.19,7.07,592.48,0.21,2890,-6.19,-0.27,0.13,0,-2073.85,-140.41,0,-1.07,1,0
"27","AZS.AX","Azure Minerals","Azure Minerals Limited is an Australia-based exploration and mine development company. Its precious and base metal projects include the Alacran Project (silver-gold-copper), Oposura Zinc-Lead-Silver Project, Andover Nickel-Copper Project, Turner River Gold Project and Meentheena and Coongan Gold Project. The Andover Nickel-Copper Project hosts nickel and copper sulfide mineralization. The Turner River Gold Project comprises two exploration license applications covering 450 square kilometers located south of Port Hedland. The Meentheena and Coongan gold exploration projects are located in the eastern Pilbara. Meentheena is located approximately 80 kilometers (Km) east of Marble Bar and Coongan is located 8km to the west of Nullagine.",2021-02-12,0.45,1.02,0.05,0.43,223.08,2.26,2331921,-0.19,0,0.34,8.5,104.75,0.34,308.09,-88.97,0.15,31.9,0,-1161.06,-14.21,1010.8,1.58,145,1010.8
"28","BSE.AX","Base Resources","Base Resources Limited is an Australia-based mineral sands producer. The Company is engaged in the operation of the 100%-owned Kwale Mineral Sands Operation (Kwale Operation) in Kenya. The Company's segments include Kwale Operation and Other operations. The Kwale Operation is located approximately 10 kilometers inland from the Kenyan coast and over 50 kilometers south of Mombasa, the principal port facility for East Africa. The Kwale Operation generates revenue from the sale of rutile, ilmenite and zircon. The project has annual production of approximately 80,000 tons of rutile, over 360,000 tons of ilmenite and approximately 30,000 tons of zircon. The Company's subsidiaries include Base Titanium (Mauritius) Limited, Base Titanium Limited and Base Exploration Tanzania Limited.",2021-02-12,0.28,0.32,0.12,0.27,16,0.74,289866,0.17,8.64,-0.44,0.92,335.73,0.29,1170,11.59,0,20.44,19.03,24.96,2.26,16.1,0.28,74,16.1
"29","BBX.AX","BBX Minerals","BBX Minerals Limited is a resource exploration and development company. The Company is engaged in exploration and development of mining assets in Brazil and South America. The Company's projects include Juma East, Ema and Tres Estados. The Company operates in two geographical areas: Australia and Brazil. The Juma East Project applications cover a total of approximately 38,443 hectares. The Ema Gold Project is located approximately 30 kilometers south of the Apui city. The Tres Estados Gold Project is located approximately 60 kilometers southeast of Apui. The Company has granted four exploration leases to Juma East Project, one exploration lease to Ema project and one exploration lease to Tres Estados project. The Company's subsidiaries include BBX Peru, BBX Lucanas, BBX Brazil, Minorte Extracao de Mineracao Ltda and Comin Gold.",2021-02-12,0.28,0.71,0.09,0.32,67.57,1.94,291351,-0.19,0,9.78,100,130.22,0.3,434.06,-191.37,1.03,98.7,0,-1147091.99,-48.61,0,-1.07,1,0
"30","BCI.AX","BCI Minerals Limited","BCI Minerals Ltd is an Australia-based company focused on developing a salt and potash business. The Company is focused on developing its Mardie Salt & Potash Project, which is located on the West Pilbara coast. It also owns royalty interests in Iron Valley, an iron ore mine located in the Central Pilbara region of Western Australia. It owns approximately 30% interest in the Carnegie Project, which is a potash exploration project located approximately 220 kilometer (km) north-east of Wiluna that comprises one granted exploration license and two exploration license applications covering a total area of approximately 1,700 km square.",2021-02-12,0.34,0.35,0.1,0.26,96.97,0.96,579422,13.22,325,-0.41,1.25,194.48,0.33,598.39,0.36,-0.26,0.74,0.49,-13.34,-42.16,8.1,0.07,63,8.1
"31","BGL.AX","Bellevue Gold Limited","Bellevue Gold Limited, formerly Draig Resources Limited, is an Australia-based gold exploration company. The Company’s principal project is the Bellevue Gold Project, which is located approximately 157 kilometers north west of Laverton in Western Australia. The Bellevue Gold Project covers an area of approximately 27 square kilometers over three granted mining leases and one exploration license. The Company also holds interests in the Tribune Lode high grade discovery and the South Yandal Gold project.",2021-02-12,0.98,1.49,0.28,1.15,87.16,1.05,4717529,-0.19,0,0.22,7.32,872.48,1.02,851.2,-7.77,-0.27,0,0,-10846.15,-158.99,1633.3,1.69,151,1633.3
"32","BRI.AX","Big River Industries Limited","Big River Industries Limited is an Australia-based diverse manufacturer and distributor of timber and building products. The Company is in the timber products business that operates across the full continuum from procurement of raw materials through to sale of finished products to end users. The Company is a manufacturer of softwood and hardwood formply and structural plywood products in Australia. The Company is a seller of consumable formwork products in Australia. It is also a national merchant of timber and associated building products to local trade, medium sized and enterprise sized companies. It also manufactures a range of steel decking, flooring and specialty plywood products. Its products are sold to professional builders, formworkers, construction companies and building contractors that operate in the residential, non-residential and infrastructure markets. It owns and operates two manufacturing facilities in Wagga Wagga, New South Wales (NSW) and Grafton, NSW.",2021-02-12,1.6,1.69,1.19,1.45,-0.93,0.34,10778,0.74,22.54,-0.4,1.39,116.92,1.6,73.08,6.67,0.65,69.97,1.79,3.59,11.63,9.9,0.15,67,9.9
"33","BGT.AX","Bio-Gene Technology Ltd","Bio-Gene Technology Limited is an Australia-based agriculture technology company. The Company is focused on developing and enabling the next generation of novel insecticides to address of insecticide resistance and toxicity. Its novel platform technology is based on a naturally occurring class of chemicals known as beta-triketones. The Company’s products include Flavocide and Qcide. The Flavocide product is based on a class of chemistry identified in extracts of specific Australian native flora. It is based on flavesone, a chemically synthesised nature-identical compound. The Qcide is extracted from the leaves of a rare sub-set of eucalyptus trees which are grown in controlled farming systems by sub-contractors to bio-gene.",2021-02-12,0.14,0.22,0.1,0.15,-3.03,0.8,306377,-0.19,0,-0.14,3.88,23.42,0.15,151.12,-35.3,-0.27,0.19,0,-1707.19,-8.73,0,-1.07,1,0
"34","BIS.AX","Bisalloy Steel Group","Bisalloy Steel Group Limited is engaged in the processing and sale of quenched and tempered (Q&T) high-tensile and abrasion resistant steel plates. The Company operates through two geographic segments: Australia and Overseas. The Australian operations consist of Bisalloy Steels Pty Limited and Bisalloy Steel Group Limited. Bisalloy Steels Pty Limited distributes wear-grade and high tensile plate through distributors and directly to original equipment manufacturers in both Australia and Overseas. The Overseas operations include PT Bima Bisalloy and Bisalloy (Thailand) Co Limited. These businesses distribute Bisalloy Q&T plate, as well as other steel plate products. The Overseas operations also include the co-operative joint venture Bisalloy Jigang Steel Plate (Shandong) Co. Ltd, which is engaged in marketing and distribution of Q&T steel plate. The Company has a heat treatment facility at Unanderra near Wollongong.",2021-02-12,1.19,127.5,0.61,2.15,13.33,59.02,48594,0.14,8.08,-0.4,1.36,52.46,1.15,45.42,17.56,0.25,39.42,6.08,8.14,6.73,13,0.24,72,13
